date,volume,open,close,high,low,adjclose
2019-02-15,2742700,222.19000244140625,222.11000061035156,222.35000610351562,220.47999572753906,222.11000061035156
2019-02-14,2875600,219.50999450683594,219.80999755859375,220.97999572753906,218.6199951171875,219.80999755859375
2019-02-13,2996600,219.7899932861328,220.5399932861328,221.27999877929688,219.44000244140625,220.5399932861328
2019-02-12,3411400,218.55999755859375,218.91000366210938,219.49000549316406,217.63999938964844,218.91000366210938
2019-02-11,2974400,216.99000549316406,217.10000610351562,218.64999389648438,216.33999633789062,217.10000610351562
2019-02-08,3248400,212.0,216.5800018310547,216.6300048828125,212.0,216.5800018310547
2019-02-07,2742900,213.4600067138672,213.97000122070312,214.4499969482422,211.60000610351562,213.97000122070312
2019-02-06,2698000,215.25,215.3000030517578,215.89999389648438,213.67999267578125,215.3000030517578
2019-02-05,3091500,215.0,215.86000061035156,216.6999969482422,214.9499969482422,215.86000061035156
2019-02-04,4397500,214.35000610351562,214.91000366210938,214.9499969482422,213.1999969482422,214.91000366210938
2019-02-01,6470100,211.99000549316406,213.77000427246094,214.63999938964844,211.1999969482422,213.77000427246094
2019-01-31,11316200,209.8000030517578,211.1300048828125,212.97000122070312,208.0,211.1300048828125
2019-01-30,4079500,200.4199981689453,204.02000427246094,204.8300018310547,199.89999389648438,204.02000427246094
2019-01-29,3661900,200.19000244140625,199.24000549316406,200.6699981689453,197.66000366210938,199.24000549316406
2019-01-28,3277200,200.74000549316406,200.16000366210938,200.97999572753906,198.05999755859375,200.16000366210938
2019-01-25,4677500,202.19000244140625,202.94000244140625,203.88999938964844,199.7899932861328,202.94000244140625
2019-01-24,2792000,198.4199981689453,199.7899932861328,200.1999969482422,197.92999267578125,199.7899932861328
2019-01-23,3086100,201.0500030517578,198.35000610351562,201.05999755859375,196.60000610351562,198.35000610351562
2019-01-22,4457700,199.7899932861328,199.4600067138672,201.0,197.64999389648438,199.4600067138672
2019-01-18,4866600,201.17999267578125,202.0,202.52999877929688,200.02000427246094,202.0
2019-01-17,2764100,197.4499969482422,199.30999755859375,200.39999389648438,197.10000610351562,199.30999755859375
2019-01-16,3546300,197.50999450683594,197.77000427246094,198.41000366210938,196.5,197.77000427246094
2019-01-15,3783000,195.22000122070312,196.52000427246094,197.35000610351562,193.10000610351562,196.52000427246094
2019-01-14,3336500,194.3800048828125,195.42999267578125,197.0,194.0,195.42999267578125
2019-01-11,2500100,196.07000732421875,195.89999389648438,196.6999969482422,194.7100067138672,195.89999389648438
2019-01-10,3693600,193.02999877929688,196.9499969482422,197.24000549316406,191.32000732421875,196.9499969482422
2019-01-09,5471500,194.3000030517578,195.77000427246094,196.5500030517578,193.27999877929688,195.77000427246094
2019-01-08,5069700,189.89999389648438,192.27999877929688,192.49000549316406,188.5,192.27999877929688
2019-01-07,4219200,190.6300048828125,191.22000122070312,193.02000427246094,189.7100067138672,190.88999938964844
2019-01-04,4452900,184.85000610351562,189.75999450683594,191.25,184.44000244140625,189.43252563476562
2019-01-03,5070900,187.5,181.17999267578125,187.50999450683594,180.97999572753906,180.86732482910156
2019-01-02,4294000,185.8300018310547,189.74000549316406,190.82000732421875,185.30999755859375,189.41256713867188
2018-12-31,3658500,186.9199981689453,188.64999389648438,189.0,186.36000061035156,188.32443237304688
2018-12-28,4830300,189.7100067138672,186.16000366210938,190.10000610351562,184.17999267578125,185.8387451171875
2018-12-27,4695200,183.97999572753906,188.69000244140625,188.6999969482422,180.16000366210938,188.3643798828125
2018-12-26,5261400,176.0,186.42999267578125,186.5,176.0,186.10826110839844
2018-12-24,4351900,173.14999389648438,174.64999389648438,177.97999572753906,171.88999938964844,174.3485870361328
2018-12-21,8374300,181.1999969482422,175.19000244140625,185.27000427246094,175.0,174.88766479492188
2018-12-20,6562600,185.60000610351562,182.7100067138672,188.33999633789062,180.22999572753906,182.3946990966797
2018-12-19,6100600,190.92999267578125,187.1199951171875,194.35000610351562,184.75999450683594,186.7970733642578
2018-12-18,4345200,192.05999755859375,191.61000061035156,194.35000610351562,190.10000610351562,191.27932739257812
2018-12-17,5459900,193.5,190.4499969482422,193.5399932861328,188.77000427246094,190.121337890625
2018-12-14,3801700,196.60000610351562,195.3300018310547,197.24000549316406,193.19000244140625,194.992919921875
2018-12-13,5246200,200.8000030517578,198.9600067138672,202.1999969482422,195.30999755859375,198.6166534423828
2018-12-12,5160100,200.4600067138672,200.2899932861328,205.9600067138672,200.25999450683594,199.94435119628906
2018-12-11,3582400,201.0800018310547,197.74000549316406,201.39999389648438,196.05999755859375,197.3987579345703
2018-12-10,4101000,194.64999389648438,198.05999755859375,198.72000122070312,193.0,197.71820068359375
2018-12-07,4968100,203.77999877929688,196.5,206.52000427246094,194.89999389648438,196.160888671875
2018-12-06,6558900,194.8000030517578,202.99000549316406,203.3699951171875,194.22000122070312,202.6396942138672
2018-12-04,6628600,207.38999938964844,200.49000549316406,209.52000427246094,199.6199951171875,200.14401245117188
2018-12-03,6599900,206.00999450683594,209.86000061035156,209.91000366210938,205.94000244140625,209.49783325195312
2018-11-30,7944700,196.58999633789062,201.07000732421875,201.6699981689453,195.8000030517578,200.72300720214844
2018-11-29,5447700,202.0500030517578,196.66000366210938,202.0500030517578,196.30999755859375,196.32061767578125
2018-11-28,6203000,195.0,202.27999877929688,202.47000122070312,193.27000427246094,201.93092346191406
2018-11-27,3976300,190.75,192.97999572753906,193.0399932861328,189.4499969482422,192.64695739746094
2018-11-26,6917200,185.5800018310547,191.85000610351562,192.22999572753906,183.67999267578125,191.5189208984375
2018-11-23,2601000,184.8800048828125,182.60000610351562,186.22999572753906,182.25999450683594,182.28488159179688
2018-11-21,3950200,188.5399932861328,187.66000366210938,190.08999633789062,186.24000549316406,187.33615112304688
2018-11-20,7892900,181.97999572753906,187.05999755859375,188.8000030517578,177.39999389648438,186.7371826171875
2018-11-19,4488100,199.0399932861328,189.27999877929688,199.39999389648438,188.5500030517578,188.95335388183594
2018-11-16,2939500,199.0,199.0399932861328,200.91000366210938,197.4499969482422,198.69650268554688
2018-11-15,3424600,197.02000427246094,200.7100067138672,201.14999389648438,194.3300018310547,200.36363220214844
2018-11-14,3218600,200.55999755859375,197.5800018310547,202.22999572753906,195.61000061035156,197.23902893066406
2018-11-13,2852000,199.77999877929688,198.1699981689453,202.25,197.5500030517578,197.8280029296875
2018-11-12,3507300,204.6199951171875,199.13999938964844,205.25,198.72999572753906,198.7963409423828
2018-11-09,3229700,207.3800048828125,205.6199951171875,207.97999572753906,203.4199981689453,205.26515197753906
2018-11-08,3922200,207.36000061035156,208.86000061035156,208.86000061035156,206.0,208.4995574951172
2018-11-07,4922800,202.19000244140625,208.24000549316406,208.3800048828125,201.74000549316406,207.88064575195312
2018-11-06,2916000,198.5,199.14999389648438,200.6699981689453,197.52999877929688,198.8063201904297
2018-11-05,3110800,198.1999969482422,197.97999572753906,199.1300048828125,194.2899932861328,197.63833618164062
2018-11-02,4261500,198.9199981689453,197.72000122070312,200.99000549316406,195.25,197.3787841796875
2018-11-01,4439000,198.88999938964844,199.7100067138672,200.0,195.00999450683594,199.3653564453125
